List of functions with unknown behavior (and their header files)

    ControlsTab::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\TabBar\ControlsTab.h
    ControlsTab::#destructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\TabBar\ControlsTab.h
    Date::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\Parameters.h
    Lang::#destructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\Parameters.h
    SplitterContainer::#destructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\SplitterContainer\SplitterContainer.h
    Style::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\Parameters.h
    Window::#destructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\Window.h
    Window::operator=;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\Window.h
    nsPkgInt::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\uchardet\nsPkgInt.h
<SYSTEM>    ATL::IAtlMemMgr::Allocate;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\atlmfc\include\atlmem.h
<SYSTEM>    ATL::IAtlMemMgr::Free;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\atlmfc\include\atlmem.h
<SYSTEM>    ATL::IAtlMemMgr::Reallocate;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\atlmfc\include\atlmem.h
<SYSTEM>    ATL::IAtlStringMgr::Free;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\atlmfc\include\atlsimpstr.h
<SYSTEM>    AdjustWindowRectEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    AllocateAndInitializeSid;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\securitybaseapi.h
<SYSTEM>    AppendMenuW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    AssocQueryStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\Shlwapi.h
<SYSTEM>    BstrFromVector;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    CLSIDFromString;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CallNextHookEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CallWindowProcW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CancelIo;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\ioapiset.h
<SYSTEM>    CertCloseStore;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CertFreeCertificateContext;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CertGetCertificateContextProperty;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CertGetNameStringW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    CertNameToStrW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wincrypt.h
<SYSTEM>    ChangeClipboardChain;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CharLowerBuffW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CharNextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CharUpperBuffW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CheckMenuItem;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CheckMenuRadioItem;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    CheckTokenMembership;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\securitybaseapi.h
<SYSTEM>    ChooseColorW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\commdlg.h
<SYSTEM>    CoCreateInstance;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoGetMalloc;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoInitialize;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\objbase.h
<SYSTEM>    CoMarshalInterThreadInterfaceInStream;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoMarshalInterface;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoRegisterClassObject;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoReleaseMarshalData;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoRevokeClassObject;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    CoTaskMemAlloc;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
